TSK,PSFC,X.U10.,X.V10.,X.Q2.,RAINC,RAINNC,SNOW,TSLB,SMOIS,date_time,Windspeed
285.3,101476,5.8,1.1,0.0058,0,0,0,273.2,1,01.05.2018.00.00,5.9
278.7,100438,7.050000000000001,1.5,0.0045,0,0.8,0,281.1,0.2733,01.05.2018.00.00,7.21
283.7,100999,8.3,0.1,0.00554,0,0,0,273.2,1,01.05.2018.00.00,8.3
284.4,101214,6.7,5.7,0.0057,0,0,0,273.2,1,01.05.2018.00.00,8.8
272.4,100100,1.4,1.7,0.00393,0,0,0,278.6,0.2969,01.05.2018.00.00,2.2
284.6,101297,6.1,4,0.00557,0,0,0,273.2,0.30874999999999997,01.05.2018.00.00,7.29
274.7,99968,2,2,0.00437,0,0,0,278.7,0.3206,01.05.2018.00.00,2.83
284,101282,5.8,1.9,0.00573,0,0,0,273.2,1,01.05.2018.00.00,6.1
283.7,101325,6.2,1.9,0.00565,0,0,0,273.2,1,01.05.2018.00.00,6.48
285,101459,5.8,1.5,0.00567,0,0,0,273.2,1,01.05.2018.00.00,5.99
283.7,101340,5.9,2.3,0.00578,0,0,0,273.2,1,01.05.2018.00.00,6.33
277.1,100320,4.4,-0.1,0.00453,0,0,0,279.2,0.3113,01.05.2018.00.00,4.4
272.2,99891,2.1,1.7,0.0039,0,0,0,279.1,0.3146,01.05.2018.00.00,2.7
272.8,100126,1.9,2.4,0.00397,0,0,0,278.9,0.3096,01.05.2018.00.00,3.06
284.9,101402,6,2.9,0.00557,0,0,0,273.2,1,01.05.2018.00.00,6.66
283.8,101181,5.9,4.5,0.0055,0,0,0,273.2,1,01.05.2018.00.00,7.42
283.6,101146,6,5.3,0.00556,0,0,0,273.2,1,01.05.2018.00.00,8.01
284.6,101317,6.1,3.8,0.00557,0,0,0,273.2,1,01.05.2018.00.00,7.19
283.7,101046,8,-0.9,0.00553,0,0,0,273.2,1,01.05.2018.00.00,8.05
283.9,101152,6.1,5.6,0.00563,0,0,0,273.2,1,01.05.2018.00.00,8.28
283.8,101263,6,1.7,0.00576,0,0,0,273.2,1,01.05.2018.00.00,6.24
284.4,101263,6.3,0.55,0.00562,0,0,0,273.2,1,01.05.2018.00.00,6.32
283.9,101037,8.3,-0.6,0.00555,0,0,0,273.2,1,01.05.2018.00.00,8.32
284.7,101294,5.8,2.4,0.00566,0,0,0,273.2,1,01.05.2018.00.00,6.28
272.5,99579,2.3,1.9,0.00391,0,0.1,0,278.5,0.3225,01.05.2018.00.00,2.98
283.7,101362,6,0.9,0.00545,0,0,0,273.2,1,01.05.2018.00.00,6.07
283.3,101289,6.4,0.7,0.00537,0,0,0,273.2,1,01.05.2018.00.00,6.44
286.1,101410,6,2.5,0.00556,0,0,0,273.2,1,01.05.2018.00.00,6.5
282.2,100912,7.8,-1.4,0.00533,0,0,0,273.2,1,01.05.2018.00.00,7.92
283.7,101321,6,2.1,0.00576,0,0,0,273.2,1,01.05.2018.00.00,6.36
284.9,101375,6.4,3.4,0.00557,0,0,0,273.2,1,01.05.2018.00.00,7.25
284.1,101022,8.9,-0.2,0.00556,0,0,0,273.2,1,01.05.2018.00.00,8.9
284.7,101428,5.9,2.4,0.00564,0,0,0,273.2,1,01.05.2018.00.00,6.37
279,100456,7.1,1.2,0.00482,0,0,0,280.8,0.1798,01.05.2018.00.00,7.2
283.9,101407,5.9,0.7,0.00537,0,0,0,277,1,01.05.2018.00.00,5.94
284.1,101158,6.3,5.9,0.00568,0,0,0,273.2,1,01.05.2018.00.00,8.63
284.8,101469,5.6,2.3,0.00573,0,0,0,273.2,1,01.05.2018.00.00,6.05
286.2,101452,5.9,1.7,0.00561,0,0,0,273.2,1,01.05.2018.00.00,6.14
284.1,101398,6.2,2.7,0.00563,0,0,0,273.2,1,01.05.2018.00.00,6.76
278.9,100559,6.1,0.6,0.00459,0,1.8,0,281,0.2714,01.05.2018.00.00,6.13
276,100524,4,-1,0.0044,0,0,0,278.9,0.3285,01.05.2018.00.00,4.12
278.7,100913.5,4.2,1.1,0.00439,0,0.2,0,280.2,0.307,01.05.2018.00.00,4.34
